age,male_nonsmoker,male_smoker,female_nonsmoker,female_smoker,unit,product_label,tariff_as_of,source_pdf
18,0.84,1.21,0.80,1.15,annual_ILS_per_1000_cover,תעריף ריסק 1,05.2026,תעריפי-ביטוח-חיים-ריסק-1_260910_205355.pdf
19,0.84,1.21,0.80,1.15,annual_ILS_per_1000_cover,תעריף ריסק 1,05.2026,תעריפי-ביטוח-חיים-ריסק-1_260910_205355.pdf
20,0.84,1.21,0.80,1.15,annual_ILS_per_1000_cover,תעריף ריסק 1,05.2026,תעריפי-ביטוח-חיים-ריסק-1_260910_205355.pdf
21,0.84,1.21,0.80,1.15,annual_ILS_per_1000_cover,תעריף ריסק 1,05.2026,תעריפי-ביטוח-חיים-ריסק-1_260910_205355.pdf
22,0.84,1.21,0.80,1.15,annual_ILS_per_1000_cover,תעריף ריסק 1,05.2026,תעריפי-ביטוח-חיים-ריסק-1_260910_205355.pdf
23,0.84,1.21,0.80,1.15,annual_ILS_per_1000_cover,תעריף ריסק 1,05.2026,תעריפי-ביטוח-חיים-ריסק-1_260910_205355.pdf
24,0.84,1.21,0.80,1.15,annual_ILS_per_1000_cover,תעריף ריסק 1,05.2026,תעריפי-ביטוח-חיים-ריסק-1_260910_205355.pdf
25,0.84,1.21,0.80,1.15,annual_ILS_per_1000_cover,תעריף ריסק 1,05.2026,תעריפי-ביטוח-חיים-ריסק-1_260910_205355.pdf
26,0.84,1.21,0.80,1.15,annual_ILS_per_1000_cover,תעריף ריסק 1,05.2026,תעריפי-ביטוח-חיים-ריסק-1_260910_205355.pdf
27,0.84,1.21,0.80,1.15,annual_ILS_per_1000_cover,תעריף ריסק 1,05.2026,תעריפי-ביטוח-חיים-ריסק-1_260910_205355.pdf
28,0.84,1.21,0.80,1.15,annual_ILS_per_1000_cover,תעריף ריסק 1,05.2026,תעריפי-ביטוח-חיים-ריסק-1_260910_205355.pdf
29,0.84,1.21,0.80,1.15,annual_ILS_per_1000_cover,תעריף ריסק 1,05.2026,תעריפי-ביטוח-חיים-ריסק-1_260910_205355.pdf
30,0.84,1.21,0.80,1.15,annual_ILS_per_1000_cover,תעריף ריסק 1,05.2026,תעריפי-ביטוח-חיים-ריסק-1_260910_205355.pdf
31,0.84,1.21,0.80,1.15,annual_ILS_per_1000_cover,תעריף ריסק 1,05.2026,תעריפי-ביטוח-חיים-ריסק-1_260910_205355.pdf
